標題,作者,年份,期刊名稱,卷期,頁碼,DOI
人工智慧在高等教育之應用:文獻回顧與展望,張三、李四,2023,教育研究月刊,350,45-68,10.1234/er.2023.350.003
數位學習平台使用意願之研究,王小明,2022,教育科學研究期刊,67(2),123-145,10.5678/edres.2022.67.2.006
大學生對AI教學工具的態度調查,陳美玲、林志強,2024,高等教育,19(1),78-95,
線上學習成效評估指標建構,劉大華,2021,教育評論,155,34-52,10.9012/edurev.2021.155.002
混成式教學模式在大學的實踐,黃小花,2023,師資培育與教師專業發展,16(3),112-130,10.3456/teach.2023.16.3.008
數位素養與學習成效關係之實證研究,吳志明、張雅婷,2022,教育與心理研究,45(4),67-89,10.7890/edupsych.2022.45.4.004
人工智慧輔助教學對學生學習動機之影響,李曉華,2024,課程與教學,27(2),45-63,
大學教師使用數位工具之現況與挑戰,陳建國、王淑芬、林美珠,2023,教育研究集刊,69(1),1-28,10.2345/edurc.2023.69.1.001
線上評量系統設計原則探討,趙小英,2021,測驗與評量,18(3),89-108,10.6789/assess.2021.18.3.005
AI在教育領域的倫理議題,周大明、許美玲,2022,教育哲學,12(2),156-175,10.4567/eduphil.2022.12.2.009
數位轉型下的大學治理,張志偉,2023,高等教育研究,8(1),23-45,
學習分析在高等教育的應用,林小芳、黃建華,2024,教育科技,31(2),78-96,10.8901/edtech.2024.31.2.006
COVID-19疫情下的遠距教學經驗,陳雅文,2021,教育研究,145,112-134,10.1357/edures.2021.145.007
自主學習在數位時代的新意涵,王志強、李美惠,2022,教育理論與實踐,25(4),45-67,10.2468/edutp.2022.25.4.003
大學生數位能力指標建構,劉建國,2023,教育測驗與評量,22(1),89-112,10.3579/edutest.2023.22.1.005
人工智慧對教育公平的影響,黃美玲、張小華、林志偉,2024,教育與社會,15(2),34-56,
數位教材設計原則與實務,吳大明,2022,教學設計,19(3),123-145,10.4680/instrdes.2022.19.3.008
高等教育數位創新的挑戰與機會,陳志華,2021,大學教育,28(4),67-89,10.5791/univedu.2021.28.4.004
線上協作學習之效果研究,李雅婷、王建國,2023,合作學習,14(1),45-68,10.6802/coop.2023.14.1.002
AI時代教師角色的轉變,張美珠,2024,師資教育,21(3),112-134,10.7913/teachered.2024.21.3.007
